,Location,TotalFatalInjuries,pop,Scaled_Fatalities
4372,"walla walla, wa",3.0,627940.0,4.7775265152721595e-06
925,"cornville, az",3.0,138250.0,2.1699819168173598e-05
1024,"dardanelle, ca",3.0,186997.0,1.604303812360626e-05
992,"cumberland, md",3.0,9372.0,0.0003201024327784891
987,"cullman, al",3.0,1381704.0,2.171232043910997e-06
2968,"near westbay, fl",3.0,4969.0,0.0006037432078889113
3602,"riverdale, md",3.0,15902.0,0.00018865551502955603
4483,"west palm beach, fl",3.0,1197852.0,2.5044830246140592e-06
3570,"reed, ok",3.0,80689.0,3.717978906666336e-05
2387,"livermore falls, me",3.0,17049.0,0.00017596339961288053
3118,"oak grove, wi",3.0,482618.0,6.216096374358188e-06
4614,"woodville, tx",3.0,23116.0,0.00012978023879563937
3465,"porterville, ca",3.0,84119.0,3.5663762051379594e-05
417,"bird island, mn",3.0,42700.0,7.02576112412178e-05
429,"black mountain, nv",3.0,211354.0,1.4194195520311894e-05
440,"blairsville, ga",3.0,58118.0,5.1619119721945006e-05
3367,"piedmont, sc",3.0,28439.0,0.00010548894124265973
4638,"yamhill, or",3.0,493806.0,6.075260324904922e-06
3362,"phoenix, az",3.0,1030853.0,2.9102112522348e-06
482,"borger, tx",3.0,2841952.0,1.0556124804359821e-06
3354,"phelen, ca",3.0,51524.0,5.822529306730844e-05
3345,"petaluma, ca",3.0,88906.0,3.374350437540774e-05
3328,"pensacola, fl",3.0,4634720.0,6.47288293575448e-07
500,"brackettville, tx",3.0,15269.0,0.00019647652105573383
4622,"worthington, in",3.0,184217.0,1.6285141979296156e-05
510,"breakabeen, ny",3.0,20021.0,0.00014984266520153838
531,"brinnon, wa",3.0,107597.0,2.788181826630854e-05
3126,"oakwood, va",3.0,29015.0,0.0001033947957952783
3304,"peach bottom, pa",3.0,10718.0,0.0002799029669714499
3293,"patterson, la",3.0,34506.0,8.69414014953921e-05
549,"broomfield, co",3.0,424540.0,7.066471946106374e-06
4609,"woodside, ca",3.0,155686.0,1.9269555387125366e-05
3275,"paris, tx",3.0,167375.0,1.7923823749066467e-05
3267,"panoche, ca",3.0,38055.0,7.883326763894364e-05
669,"carbondale, ks",3.0,51524.0,5.822529306730844e-05
3249,"palm springs, ca",3.0,456069.0,6.577952020417963e-06
686,"carson, nm",3.0,18772.0,0.00015981248668229278
3612,"robersonville, nc",3.0,184217.0,1.6285141979296156e-05
3208,"oshkosh, wi",3.0,401445.0,7.4730037738669055e-06
3146,"odessa, tx",3.0,208487.0,1.438938638859977e-05
3133,"ocean springs, ms",3.0,4532.0,0.0006619593998234775
785,"chino, ca",3.0,258597.0,1.1601062657339413e-05
1144,"douglassville, pa",3.0,46962.0,6.388143605468251e-05
1324,eugene isl.blk,3.0,54104.0,5.544876534082508e-05
1169,"duluth, mn",3.0,363099.0,8.262209480059157e-06
1813,"hearst, ca",3.0,94807.0,3.164323309460272e-05
2552,"marlborough, ct",3.0,91685.0,3.272072858155641e-05
2026,"jamul, ca",3.0,214498.0,1.3986144392954714e-05
2017,"jaffrey, nh",3.0,1316492.0,2.2787833120140494e-06
2013,"jacksonville, fl",3.0,1802927.0,1.6639608813889859e-06
4100,"sunset hills, mo",3.0,165015.0,1.8180165439505498e-05
1999,"island beach, nj",3.0,18272.0,0.00016418563922942207
1917,"hot springs, ar",3.0,137329.0,2.1845349489182913e-05
1897,"homestead, fl",3.0,13117793.0,2.2869700718710839e-07
